FECHA,LABORATORIO,RX,TOTAL
15/11/2019,CHIHUAHUA,2918,"584,64"
15/11/2019,CHIHUAHUA,2940,"552,73"
15/11/2019,CHIHUAHUA,2941,"552,73"
15/11/2019,CHIHUAHUA,2949,"571,87"
15/11/2019,CHIHUAHUA,2960,"644,37"
15/11/2019,CHIHUAHUA,2967,"522,58"
15/11/2019,CHIHUAHUA,2910,"546,94"
15/11/2019,CHIHUAHUA,2921,"440,8"
15/11/2019,CHIHUAHUA,2922,"940,19"
15/11/2019,CHIHUAHUA,2929,"523,74"
15/11/2019,CHIHUAHUA,2942,"523,74"
15/11/2019,CHIHUAHUA,2943,"440,8"
15/11/2019,CHIHUAHUA,2945,"523,74"
15/11/2019,CHIHUAHUA,2948,
15/11/2019,CHIHUAHUA,2954,
15/11/2019,CHIHUAHUA,2955,
15/11/2019,CHIHUAHUA,2958,
15/11/2019,CHIHUAHUA,933,
15/11/2019,CHIHUAHUA,2173,
15/11/2019,CHIHUAHUA,2179,
15/11/2019,CHIHUAHUA,2175,
15/11/2019,CHIHUAHUA,444,
15/11/2019,CHIHUAHUA,444,
15/11/2019,CHIHUAHUA,448,
15/11/2019,CHIHUAHUA,447,
15/11/2019,CHIHUAHUA,445,
15/11/2019,CHIHUAHUA,3971,
15/11/2019,CHIHUAHUA,3969,
15/11/2019,CHIHUAHUA,3849,
15/11/2019,CHIHUAHUA,3850,
15/11/2019,CHIHUAHUA,4515,
15/11/2019,CHIHUAHUA,8796,
15/11/2019,CHIHUAHUA,2241,
15/11/2019,CHIHUAHUA,4911,
15/11/2019,CHIHUAHUA,3851,
15/11/2019,CHIHUAHUA,3852,
15/11/2019,CHIHUAHUA,3853,
15/11/2019,CHIHUAHUA,3765,
15/11/2019,CHIHUAHUA,3766,
15/11/2019,CHIHUAHUA,3764,
15/11/2019,CHAPULTEPEC,5509,
15/11/2019,CHAPULTEPEC,9306,
15/11/2019,CHAPULTEPEC,9311,
15/11/2019,CHAPULTEPEC,9310,
15/11/2019,CHAPULTEPEC,9308,
15/11/2019,CHAPULTEPEC,9313,
15/11/2019,CHAPULTEPEC,9319,
15/11/2019,CHAPULTEPEC,9312,
15/11/2019,CHAPULTEPEC,9315,
15/11/2019,CHAPULTEPEC,9316,
15/11/2019,CHAPULTEPEC,9321,
15/11/2019,CHAPULTEPEC,9318,
15/11/2019,CHAPULTEPEC,9314,
15/11/2019,CHAPULTEPEC,9305,
15/11/2019,CHAPULTEPEC,9304,
15/11/2019,CHAPULTEPEC,9307,
15/11/2019,CHAPULTEPEC,9320,
15/11/2019,CHAPULTEPEC,9317,
15/11/2019,CHAPULTEPEC,9304,
15/11/2019,CHAPULTEPEC,8897,
15/11/2019,CHAPULTEPEC,6478,
15/11/2019,CHAPULTEPEC,6479,
15/11/2019,CHAPULTEPEC,1422,
15/11/2019,CHAPULTEPEC,1424,
15/11/2019,CHAPULTEPEC,1423,
15/11/2019,CHAPULTEPEC,5553,
15/11/2019,CHAPULTEPEC,5552,
15/11/2019,CHAPULTEPEC,4969,
15/11/2019,CHAPULTEPEC,5551,
15/11/2019,CHAPULTEPEC,6141,
15/11/2019,CHAPULTEPEC,6110,
15/11/2019,CHAPULTEPEC,6108,
15/11/2019,CHAPULTEPEC,546,
15/11/2019,CHAPULTEPEC,543,
15/11/2019,CHAPULTEPEC,548,
15/11/2019,CHAPULTEPEC,9064,
15/11/2019,CHAPULTEPEC,7564,
15/11/2019,CHAPULTEPEC,7546,
15/11/2019,CHAPULTEPEC,5970,
15/11/2019,CHAPULTEPEC,6513,
15/11/2019,CHAPULTEPEC,7108,
15/11/2019,CHAPULTEPEC,7977,
15/11/2019,CHAPULTEPEC,690,
15/11/2019,CHAPULTEPEC,6179,
15/11/2019,CHAPULTEPEC,6178,
15/11/2019,PDV VERACRUZ,2158,
15/11/2019,PDV VERACRUZ,2160,
15/11/2019,PDV VERACRUZ,2156,
15/11/2019,PDV VERACRUZ,2157,
15/11/2019,PDV VERACRUZ,2159,
15/11/2019,PDV VERACRUZ,4795,
15/11/2019,PDV VERACRUZ,4796,
15/11/2019,PDV VERACRUZ,4797,
15/11/2019,PDV VERACRUZ,4199,
15/11/2019,PDV VERACRUZ,3265,
15/11/2019,PDV VERACRUZ,3266,
15/11/2019,PDV VERACRUZ,4196,
15/11/2019,PDV VERACRUZ,4198,
15/11/2019,PDV VERACRUZ,4197,
15/11/2019,PDV VERACRUZ,4195,
15/11/2019,PDV VERACRUZ,4194,
15/11/2019,PDV VERACRUZ,8507,
15/11/2019,PDV VERACRUZ,5721,
15/11/2019,PDV VERACRUZ,8506,
15/11/2019,PDV VERACRUZ,8505,
15/11/2019,PDV VERACRUZ,8508,
15/11/2019,PDV VERACRUZ,5720,
15/11/2019,PDV VERACRUZ,2192,
15/11/2019,PDV VERACRUZ,8509,
15/11/2019,TIJUANA,6832,
15/11/2019,TIJUANA,6833,
15/11/2019,TIJUANA,969,
15/11/2019,TIJUANA,968,
15/11/2019,TIJUANA,970,
15/11/2019,TIJUANA,967,
15/11/2019,TIJUANA,5236,
15/11/2019,SLP,5702,
15/11/2019,SLP,5703,
15/11/2019,SLP,5704,
15/11/2019,SLP,5705,
15/11/2019,SLP,5045,
15/11/2019,SLP,8954,
15/11/2019,SLP,4537,
15/11/2019,SLP,4538,
15/11/2019,SLP,4539,
15/11/2019,SLP,5109,
15/11/2019,SLP,5110,
15/11/2019,SLP,5111,
15/11/2019,SLP,5112,
15/11/2019,SLP,4735,
15/11/2019,SLP,4734,
15/11/2019,SLP,4736,
15/11/2019,SLP,5570,
15/11/2019,SLP,5571,
15/11/2019,SLP,5572,
15/11/2019,SLP,5573,
15/11/2019,SLP,5574,
15/11/2019,SLP,5575,
15/11/2019,SLP,5576,
15/11/2019,SLP,5577,
15/11/2019,SLP,5578,
15/11/2019,SLP,5579,
15/11/2019,SLP,5580,
15/11/2019,SLP,5581,
15/11/2019,SLP,5222,
15/11/2019,SLP,5706,
15/11/2019,SLP,5707,
15/11/2019,SLP,5708,
15/11/2019,SLP,5582,
15/11/2019,SLP,5583,
15/11/2019,SLP,5584,
15/11/2019,SLP,3975,
15/11/2019,SLP,4602,
15/11/2019,SLP,4586,
15/11/2019,SLP,5113,
15/11/2019,SLP,5209,
15/11/2019,SLP,5210,
15/11/2019,SLP,5211,
15/11/2019,SLP,5212,
15/11/2019,SLP,5048,
15/11/2019,SLP,5223,
15/11/2019,SLP,5226,
15/11/2019,SLP,5047,
15/11/2019,SLP,5224,
15/11/2019,PDV MORELIA,1204,"1057,92"
15/11/2019,PDV MORELIA,2463,
15/11/2019,PDV MORELIA,2462,
15/11/2019,PDV ISABEL,2842,
15/11/2019,PDV ISABEL,2844,
15/11/2019,PDV ISABEL,1612,
15/11/2019,PDV ISABEL,1609,
15/11/2019,PDV ISABEL,7152,
15/11/2019,PDV ISABEL,1614,
15/11/2019,PDV ISABEL,1617,
15/11/2019,PDV ISABEL,1616,
15/11/2019,PDV ISABEL,1618,
15/11/2019,PDV ISABEL,7053,
15/11/2019,PDV ISABEL,1620,
15/11/2019,PDV ISABEL,1621,
15/11/2019,PDV ISABEL,1622,
15/11/2019,PDV ISABEL,1623,
15/11/2019,PDV ISABEL,1624,
15/11/2019,TORREON,7779,
15/11/2019,TORREON,9772,
15/11/2019,TORREON,9771,
15/11/2019,TORREON,4186,
15/11/2019,TORREON,4654,
15/11/2019,TORREON,4683,
15/11/2019,TORREON,4622,
15/11/2019,TORREON,4623,
15/11/2019,TORREON,4624,
15/11/2019,TORREON,7780,
15/11/2019,TORREON,4204,
15/11/2019,TORREON,4421,
15/11/2019,TORREON,4423,
15/11/2019,TORREON,4422,
15/11/2019,TORREON,4684,
15/11/2019,TORREON,3082,
15/11/2019,TORREON,3083,
15/11/2019,TORREON,3081,
15/11/2019,TORREON,6470,
15/11/2019,TORREON,3078,
15/11/2019,TORREON,3079,
15/11/2019,TORREON,6471,
15/11/2019,TORREON,9280,
15/11/2019,TORREON,3155,
15/11/2019,PUEBLA,8838,
15/11/2019,PUEBLA,2859,
15/11/2019,PUEBLA,2860,
15/11/2019,PUEBLA,2861,
15/11/2019,PUEBLA,2862,
15/11/2019,PUEBLA,2830,
15/11/2019,PUEBLA,O886,
15/11/2019,PUEBLA,O890,
15/11/2019,PUEBLA,O889,
15/11/2019,PUEBLA,O884,
15/11/2019,PUEBLA,O888,
15/11/2019,PUEBLA,O887,
15/11/2019,PUEBLA,O885,
15/11/2019,PUEBLA,8325,
15/11/2019,PUEBLA,O849,
15/11/2019,PUEBLA,O848,
15/11/2019,PUEBLA,O850,
15/11/2019,PUEBLA,2863,
15/11/2019,PUEBLA,2864,
15/11/2019,PUEBLA,8256,
15/11/2019,PUEBLA,2831,
15/11/2019,PUEBLA,8448,
15/11/2019,PUEBLA,8447,
15/11/2019,PUEBLA,8446,
15/11/2019,PUEBLA,8904,
15/11/2019,PDV VILLAHERMOSA,313,
15/11/2019,PDV VILLAHERMOSA,314,
15/11/2019,PDV VILLAHERMOSA,315,
15/11/2019,PDV VILLAHERMOSA,4581,
15/11/2019,PDV QUERETARO,7489,
15/11/2019,PDV QUERETARO,7481,
15/11/2019,PDV QUERETARO,7482,
15/11/2019,PDV QUERETARO,7486,
15/11/2019,PDV QUERETARO,7488,
15/11/2019,PDV QUERETARO,7480,
15/11/2019,PDV QUERETARO,7487,
15/11/2019,PDV QUERETARO,7490,
15/11/2019,PDV LEON,3326,
15/11/2019,PDV LEON,9805,
15/11/2019,PDV LEON,9736,
15/11/2019,PDV LEON,9217,
15/11/2019,PDV LEON,9738,
15/11/2019,PDV LEON,9655,
15/11/2019,PDV LEON,9656,
15/11/2019,PDV LEON,9548,
15/11/2019,PDV LEON,1962,
15/11/2019,PDV LEON,4208,
15/11/2019,PDV MAZATLAN,2573,
15/11/2019,PDV MAZATLAN,2572,
15/11/2019,PDV MAZATLAN,163,
15/11/2019,PDV MAZATLAN,162,
15/11/2019,PDV MAZATLAN,2571,
15/11/2019,PDV MAZATLAN,210,
15/11/2019,PDV MAZATLAN,117,
15/11/2019,PDV MAZATLAN,118,
15/11/2019,PDV MAZATLAN,7554,
15/11/2019,PDV MAZATLAN,6896,
15/11/2019,PDV MAZATLAN,2652,
15/11/2019,PDV MAZATLAN,2651,
15/11/2019,PDV MAZATLAN,50,
15/11/2019,PDV MAZATLAN,202,
15/11/2019,PDV MEXICALI,8964,
15/11/2019,PDV MEXICALI,2996,
15/11/2019,PDV MEXICALI,8931,
15/11/2019,PDV MEXICALI,8964,
15/11/2019,PDV MEXICALI,8933,
15/11/2019,MTY,7260,
15/11/2019,MTY,7626,
15/11/2019,MTY,7627,
15/11/2019,MTY,7628,
15/11/2019,MTY,7625,
15/11/2019,MTY,7624,
15/11/2019,MTY,7623,
15/11/2019,MTY,7622,
15/11/2019,MTY,3396,
15/11/2019,MTY,6600,
15/11/2019,MTY,8837,
15/11/2019,MTY,3772,
15/11/2019,MTY,6639,
15/11/2019,MTY,1430,
15/11/2019,MTY,1424,
15/11/2019,MTY,1423,
15/11/2019,MTY,1425,
15/11/2019,MTY,3814,
15/11/2019,MTY,1431,
15/11/2019,MTY,1432,
15/11/2019,MTY,3400,
15/11/2019,MTY,3399,
15/11/2019,MTY,7259,
15/11/2019,MTY,3892,
15/11/2019,MTY,3893,
15/11/2019,MTY,3895,
15/11/2019,MTY,1446,
15/11/2019,CHAPULTEPEC,5509,
15/11/2019,CHAPULTEPEC,9306,
15/11/2019,CHAPULTEPEC,9311,
15/11/2019,CHAPULTEPEC,9310,
15/11/2019,CHAPULTEPEC,9308,
15/11/2019,CHAPULTEPEC,9313,
15/11/2019,CHAPULTEPEC,9319,
15/11/2019,CHAPULTEPEC,9312,
15/11/2019,CHAPULTEPEC,9315,
15/11/2019,CHAPULTEPEC,9316,
15/11/2019,CHAPULTEPEC,9321,
15/11/2019,CHAPULTEPEC,9318,
15/11/2019,CHAPULTEPEC,9314,
15/11/2019,CHAPULTEPEC,9305,
15/11/2019,CHAPULTEPEC,9304,
15/11/2019,CHAPULTEPEC,9307,
15/11/2019,CHAPULTEPEC,9320,
15/11/2019,CHAPULTEPEC,9317,
